Treatment,Longevity,Censor
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
Control,28,1
